twotheta,intensity
18.2675,2261
18.288,2271
18.3084,2286
18.3289,2323
18.3494,2319
18.3698,2274
18.3903,2298
18.4108,2315
18.4312,2378
18.4517,2296
18.4722,2235
18.4926,2396
18.5131,2335
18.5335,2257
18.554,2300
18.5745,2338
18.5949,2358
18.6154,2301
18.6359,2371
18.6563,2346
18.6768,2328
18.6973,2362
18.7177,2443
18.7382,2394
18.7586,2397
18.7791,2485
18.7996,2422
18.82,2394
18.8405,2382
18.861,2338
18.8814,2472
18.9019,2501
18.9224,2495
18.9428,2390
18.9633,2473
18.9837,2422
19.0042,2455
19.0247,2394
19.0451,2527
19.0656,2462
19.0861,2453
19.1065,2548
19.127,2415
19.1475,2425
19.1679,2464
19.1884,2396
19.2089,2470
19.2293,2400
19.2498,2478
19.2702,2475
19.2907,2544
19.3112,2480
19.3316,2557
19.3521,2573
19.3726,2432
19.393,2476
19.4135,2542
19.434,2575
19.4544,2590
19.4749,2519
19.4953,2529
19.5158,2572
19.5363,2516
19.5567,2588
19.5772,2539
19.5977,2488
19.6181,2642
19.6386,2644
19.6591,2567
19.6795,2625
19.7,2583
19.7204,2530
19.7409,2704
19.7614,2719
19.7818,2704
19.8023,2664
19.8228,2626
19.8432,2640
19.8637,2606
19.8842,2581
19.9046,2716
19.9251,2705
19.9456,2661
19.966,2708
19.9865,2660
20.0069,2677
20.0274,2691
20.0479,2725
20.0683,2725
20.0888,2668
20.1093,2591
20.1297,2664
20.1502,2705
20.1707,2738
20.1911,2818
20.2116,2707
20.232,2721
20.2525,2713
20.273,2758
20.2934,2757
20.3139,2754
20.3344,2743
20.3548,2658
20.3753,2753
20.3958,2916
20.4162,2803
20.4367,2815
20.4571,2779
20.4776,2827
20.4981,2744
20.5185,2612
20.539,2759
20.5595,2725
20.5799,2750
20.6004,2752
20.6209,2753
20.6413,2826
20.6618,2817
20.6823,2903
20.7027,2842
20.7232,2894
20.7436,2815
20.7641,2821
20.7846,2882
20.805,2893
20.8255,2909
20.846,2835
20.8664,2908
20.8869,2868
20.9074,2913
20.9278,2871
20.9483,2856
20.9687,2887
20.9892,2837
21.0097,2904
21.0301,2900
21.0506,2971
21.0711,2851
21.0915,2863
21.112,2847
21.1325,2880
21.1529,2864
21.1734,2804
21.1938,2866
21.2143,2826
21.2348,2942
21.2552,2884
21.2757,2818
21.2962,2940
21.3166,2935
21.3371,2967
21.3576,2804
21.378,2997
21.3985,2888
21.419,2982
21.4394,2987
21.4599,2934
21.4803,2867
21.5008,2926
21.5213,2926
21.5417,2955
21.5622,2953
21.5827,2939
21.6031,2955
21.6236,2917
21.6441,2879
21.6645,2876
21.685,2923
21.7054,2941
21.7259,2952
21.7464,3007
21.7668,2909
21.7873,2993
21.8078,2885
21.8282,2873
21.8487,2954
21.8692,2924
21.8896,2981
21.9101,3040
21.9305,2945
21.951,3012
21.9715,2980
21.9919,2852
22.0124,2969
22.0329,3091
22.0533,2868
22.0738,2945
22.0943,2969
22.1147,2925
22.1352,2997
22.1557,2921
22.1761,2926
22.1966,3025
22.217,2973
22.2375,2906
22.258,2940
22.2784,2941
22.2989,2863
22.3194,2935
22.3398,2980
22.3603,2946
22.3808,2904
22.4012,2872
22.4217,2857
22.4421,2991
22.4626,3006
