twotheta,intensity
13.1857,5336
13.2061,5378
13.2266,5239
13.247,5231
13.2675,5233
13.288,5211
13.3084,5213
13.3289,5405
13.3494,5336
13.3698,5238
13.3903,5254
13.4108,5205
13.4312,5250
13.4517,5148
13.4722,5323
13.4926,5315
13.5131,5349
13.5335,5179
13.554,5191
13.5745,5254
13.5949,5184
13.6154,5116
13.6359,5090
13.6563,5255
13.6768,5161
13.6973,5200
13.7177,5198
13.7382,5130
13.7586,5068
13.7791,5082
13.7996,5235
13.82,5107
13.8405,5116
13.861,5065
13.8814,5179
13.9019,5068
13.9224,5100
13.9428,5085
13.9633,4990
13.9837,5058
14.0042,5095
14.0247,5086
14.0451,5011
14.0656,5101
14.0861,4893
14.1065,5058
14.127,5031
14.1475,5024
14.1679,4803
14.1884,5048
14.2089,4897
14.2293,4835
14.2498,4937
14.2702,4909
14.2907,4917
14.3112,4839
14.3316,4862
14.3521,4902
14.3726,4835
14.393,4831
14.4135,4803
14.434,5029
14.4544,4777
14.4749,4792
14.4953,4871
14.5158,4873
14.5363,4957
14.5567,4706
14.5772,4706
14.5977,4729
14.6181,4782
14.6386,4846
14.6591,4741
14.6795,4725
14.7,4696
14.7204,4782
14.7409,4568
14.7614,4701
14.7818,4730
14.8023,4618
14.8228,4786
14.8432,4658
14.8637,4732
14.8842,4718
14.9046,4740
14.9251,4609
14.9456,4625
14.966,4554
14.9865,4660
15.0069,4684
15.0274,4606
15.0479,4655
15.0683,4511
15.0888,4653
15.1093,4626
15.1297,4489
15.1502,4485
15.1707,4532
15.1911,4633
15.2116,4580
15.232,4495
15.2525,4580
15.273,4625
15.2934,4575
15.3139,4562
15.3344,4541
15.3548,4519
15.3753,4487
15.3958,4438
15.4162,4490
15.4367,4398
15.4571,4456
15.4776,4551
15.4981,4408
15.5185,4445
15.539,4417
15.5595,4551
15.5799,4424
15.6004,4503
15.6209,4446
15.6413,4528
15.6618,4582
15.6823,4359
15.7027,4358
15.7232,4371
15.7436,4399
15.7641,4437
15.7846,4401
15.805,4358
15.8255,4377
15.846,4428
15.8664,4378
15.8869,4490
15.9074,4539
15.9278,4356
15.9483,4486
15.9687,4375
15.9892,4473
16.0097,4445
16.0301,4428
16.0506,4292
16.0711,4268
16.0915,4360
16.112,4307
16.1325,4425
16.1529,4315
16.1734,4339
16.1938,4345
16.2143,4321
16.2348,4456
16.2552,4376
16.2757,4357
16.2962,4376
16.3166,4255
16.3371,4319
16.3576,4347
16.378,4285
16.3985,4232
16.419,4169
16.4394,4286
16.4599,4310
16.4803,4467
16.5008,4284
16.5213,4204
16.5417,4314
16.5622,4198
16.5827,4235
16.6031,4301
16.6236,4347
16.6441,4325
16.6645,4347
16.685,4271
16.7054,4341
16.7259,4242
16.7464,4154
16.7668,4082
16.7873,4358
16.8078,4365
16.8282,4330
16.8487,4383
16.8692,4213
16.8896,4266
16.9101,4138
16.9305,4156
16.951,4200
16.9715,4232
16.9919,4282
17.0124,4295
17.0329,4308
17.0533,4268
17.0738,4276
17.0943,4349
17.1147,4200
17.1352,4283
17.1557,4107
17.1761,4176
17.1966,4000
17.217,4141
17.2375,4171
17.258,4107
17.2784,4150
17.2989,4228
17.3194,4305
17.3398,4092
17.3603,4213
17.3808,4153
17.4012,4172
17.4217,4271
17.4421,4206
17.4626,4196
17.4831,4214
17.5035,4194
17.524,4093
17.5445,4144
17.5649,4151
17.5854,4143
17.6059,4279
17.6263,4130
17.6468,4171
17.6672,4160
17.6877,4149
17.7082,4136
17.7286,4210
17.7491,4263
17.7696,4116
17.79,4216
17.8105,4174
17.831,4191
17.8514,4164
17.8719,4183
17.8924,4119
17.9128,4277
17.9333,4286
17.9537,4202
17.9742,4178
17.9947,4207
18.0151,4301
18.0356,4180
18.0561,4195
18.0765,4201
18.097,4200
18.1175,4040
18.1379,4155
18.1584,4185
18.1788,4097
18.1993,4235
18.2198,4163
18.2402,4196
18.2607,4094
18.2812,4194
18.3016,4248
18.3221,4136
18.3426,4161
18.363,4306
18.3835,4192
18.4039,4095
18.4244,4152
18.4449,4134
18.4653,4256
18.4858,4246
18.5063,4200
18.5267,4303
18.5472,4137
18.5677,4101
18.5881,4099
18.6086,4141
18.6291,4128
18.6495,4317
18.67,4082
18.6904,4123
18.7109,4044
18.7314,4211
18.7518,3983
18.7723,4241
18.7928,4138
18.8132,4106
18.8337,4157
18.8542,4106
18.8746,4161
18.8951,4153
18.9155,4200
18.936,4114
18.9565,4138
18.9769,4147
18.9974,4158
19.0179,4122
19.0383,4267
19.0588,4272
19.0793,4183
19.0997,4213
19.1202,4048
19.1407,4205
19.1611,4138
19.1816,4021
19.202,4144
19.2225,4185
19.243,4193
19.2634,4142
19.2839,4151
19.3044,4153
19.3248,4052
19.3453,4157
19.3658,4063
19.3862,4174
19.4067,4090
19.4271,4120
19.4476,4086
19.4681,4154
19.4885,4011
19.509,4173
19.5295,4119
19.5499,4159
19.5704,4084
19.5909,4259
19.6113,4199
19.6318,4076
19.6522,4205
19.6727,4000
19.6932,4183
19.7136,4220
19.7341,4181
19.7546,4037
19.775,4205
19.7955,4135
19.816,4107
19.8364,4064
19.8569,4165
19.8774,4202
19.8978,4205
19.9183,4113
19.9387,4211
19.9592,4086
19.9797,4074
20.0001,4054
20.0206,4168
20.0411,4218
20.0615,4120
20.082,4158
20.1025,4092
20.1229,4082
20.1434,4020
20.1638,4159
20.1843,4122
20.2048,4138
20.2252,4148
20.2457,4240
20.2662,4136
20.2866,4085
20.3071,4240
20.3276,4123
20.348,4192
20.3685,4203
20.3889,4127
20.4094,4133
20.4299,4191
20.4503,4216
20.4708,4161
20.4913,4125
20.5117,4196
20.5322,4114
20.5527,4061
20.5731,4170
20.5936,4071
20.6141,4125
20.6345,4064
20.655,4171
20.6754,4230
20.6959,4095
20.7164,4174
20.7368,4063
20.7573,4239
20.7778,4162
20.7982,4177
20.8187,4137
20.8392,4153
20.8596,4154
20.8801,4184
20.9005,4198
20.921,4127
20.9415,4192
20.9619,4218
20.9824,4161
21.0029,4221
21.0233,4030
21.0438,4064
21.0643,4123
21.0847,4138
21.1052,4164
21.1256,4311
21.1461,4216
21.1666,4045
21.187,4188
21.2075,4231
21.228,4217
21.2484,4125
21.2689,4154
21.2894,4119
