twotheta,intensity
10.0001,1807
10.0206,1796
10.041,1765
10.0615,1831
10.082,1835
10.1024,1841
10.1229,1783
10.1433,1876
10.1638,1760
10.1843,1778
10.2047,1781
10.2252,1793
10.2457,1695
10.2661,1784
10.2866,1878
10.3071,1771
10.3275,1766
10.348,1849
10.3685,1812
10.3889,1777
10.4094,1735
10.4298,1764
10.4503,1747
10.4708,1821
10.4912,1792
10.5117,1778
10.5322,1781
10.5526,1791
10.5731,1772
10.5936,1768
10.614,1742
10.6345,1674
10.6549,1801
10.6754,1779
10.6959,1751
10.7163,1728
10.7368,1716
10.7573,1704
10.7777,1705
10.7982,1787
10.8187,1755
10.8391,1624
10.8596,1747
10.88,1676
10.9005,1696
10.921,1610
10.9414,1731
10.9619,1759
10.9824,1743
11.0028,1671
11.0233,1735
11.0438,1707
11.0642,1762
11.0847,1779
11.1052,1695
11.1256,1732
11.1461,1634
11.1665,1670
11.187,1708
11.2075,1764
11.2279,1801
11.2484,1716
11.2689,1680
11.2893,1718
11.3098,1644
11.3303,1751
11.3507,1659
11.3712,1628
11.3916,1807
11.4121,1770
11.4326,1696
11.453,1669
11.4735,1680
11.494,1622
11.5144,1761
11.5349,1703
11.5554,1679
11.5758,1654
11.5963,1671
11.6167,1722
11.6372,1640
11.6577,1756
11.6781,1657
11.6986,1715
11.7191,1652
11.7395,1641
11.76,1595
11.7805,1739
11.8009,1655
11.8214,1630
11.8419,1713
11.8623,1731
11.8828,1705
11.9032,1707
11.9237,1701
11.9442,1747
11.9646,1679
11.9851,1628
12.0056,1670
12.026,1646
12.0465,1748
12.067,1682
12.0874,1655
12.1079,1667
12.1283,1629
12.1488,1647
12.1693,1649
12.1897,1604
12.2102,1691
12.2307,1586
12.2511,1688
12.2716,1727
12.2921,1758
12.3125,1659
12.333,1627
12.3534,1660
12.3739,1663
12.3944,1741
12.4148,1664
12.4353,1674
12.4558,1647
12.4762,1644
12.4967,1669
12.5172,1657
12.5376,1654
12.5581,1737
12.5786,1653
12.599,1647
12.6195,1669
12.6399,1626
12.6604,1765
12.6809,1603
12.7013,1727
12.7218,1693
12.7423,1602
12.7627,1668
12.7832,1686
12.8037,1746
12.8241,1695
12.8446,1688
12.865,1644
12.8855,1726
12.906,1737
12.9264,1710
12.9469,1641
12.9674,1686
12.9878,1703
13.0083,1709
13.0288,1676
13.0492,1617
13.0697,1690
13.0901,1684
13.1106,1662
13.1311,1638
13.1515,1691
13.172,1684
13.1925,1661
13.2129,1685
13.2334,1723
13.2539,1652
13.2743,1620
13.2948,1704
13.3153,1674
13.3357,1652
13.3562,1668
13.3766,1759
13.3971,1622
13.4176,1669
13.438,1669
13.4585,1659
13.479,1739
13.4994,1756
13.5199,1705
13.5404,1691
13.5608,1726
13.5813,1689
13.6017,1618
13.6222,1636
13.6427,1622
13.6631,1684
13.6836,1707
13.7041,1725
13.7245,1692
13.745,1669
13.7655,1745
13.7859,1725
13.8064,1691
13.8268,1785
13.8473,1728
13.8678,1690
13.8882,1691
13.9087,1705
13.9292,1777
13.9496,1729
13.9701,1709
13.9906,1739
14.011,1757
14.0315,1745
14.052,1663
14.0724,1736
14.0929,1734
14.1133,1718
14.1338,1761
14.1543,1760
14.1747,1702
14.1952,1666
14.2157,1723
14.2361,1723
14.2566,1734
14.2771,1733
14.2975,1722
14.318,1773
14.3384,1739
14.3589,1705
14.3794,1784
14.3998,1735
14.4203,1701
14.4408,1719
14.4612,1732
14.4817,1774
14.5022,1828
14.5226,1767
14.5431,1805
14.5635,1772
14.584,1779
14.6045,1812
14.6249,1782
14.6454,1815
14.6659,1774
14.6863,1767
14.7068,1757
14.7273,1811
14.7477,1689
14.7682,1806
14.7887,1767
14.8091,1803
14.8296,1864
14.85,1819
14.8705,1775
14.891,1807
14.9114,1824
14.9319,1779
14.9524,1772
14.9728,1842
14.9933,1778
15.0138,1827
15.0342,1805
15.0547,1842
15.0751,1770
15.0956,1829
15.1161,1854
15.1365,1817
15.157,1799
15.1775,1770
15.1979,1791
15.2184,1781
15.2389,1820
15.2593,1820
15.2798,1793
15.3002,1890
15.3207,1812
15.3412,1846
15.3616,1915
15.3821,1861
15.4026,1811
15.423,1845
15.4435,1866
15.464,1849
15.4844,1935
15.5049,1923
15.5254,1901
15.5458,1804
15.5663,1872
15.5867,1947
15.6072,1900
15.6277,1937
15.6481,1809
15.6686,1872
15.6891,1904
15.7095,1980
15.73,1926
15.7505,1997
15.7709,1932
15.7914,1852
15.8118,1851
15.8323,1909
15.8528,1931
15.8732,1929
15.8937,1954
15.9142,1902
15.9346,1994
15.9551,1950
15.9756,1897
15.996,1964
16.0165,1960
16.0369,1989
16.0574,1917
16.0779,1937
16.0983,1904
16.1188,1870
16.1393,1999
16.1597,1863
16.1802,2018
16.2007,2068
16.2211,1973
16.2416,2009
16.2621,1947
16.2825,2045
16.303,2049
16.3234,1996
16.3439,1985
16.3644,2041
16.3848,2077
16.4053,1952
16.4258,2060
16.4462,2016
16.4667,2023
16.4872,1927
16.5076,1990
16.5281,1971
16.5485,2067
16.569,2006
16.5895,2101
16.6099,2047
16.6304,1984
16.6509,2117
16.6713,2024
16.6918,2072
16.7123,2040
16.7327,2111
16.7532,2030
16.7736,2154
16.7941,2154
16.8146,2064
16.835,2080
16.8555,2038
16.876,2095
16.8964,2131
16.9169,2103
16.9374,2171
16.9578,2066
16.9783,2020
16.9988,2154
17.0192,2117
17.0397,2146
17.0601,2163
17.0806,2178
17.1011,2083
17.1215,2181
17.142,2185
17.1625,2166
17.1829,2079
17.2034,2174
17.2239,2155
17.2443,2238
17.2648,2189
17.2852,2167
17.3057,2159
17.3262,2222
17.3466,2142
17.3671,2231
17.3876,2178
17.408,2245
17.4285,2206
17.449,2190
17.4694,2154
17.4899,2263
17.5103,2321
17.5308,2289
17.5513,2265
17.5717,2185
17.5922,2288
17.6127,2330
17.6331,2200
17.6536,2266
17.6741,2269
17.6945,2261
17.715,2197
17.7355,2180
17.7559,2281
17.7764,2361
17.7968,2269
17.8173,2396
17.8378,2308
17.8582,2341
17.8787,2294
17.8992,2415
17.9196,2346
17.9401,2330
17.9606,2419
17.981,2337
18.0015,2454
18.0219,2353
18.0424,2357
18.0629,2312
18.0833,2343
18.1038,2387
18.1243,2394
18.1447,2396
18.1652,2374
18.1857,2453
18.2061,2381
18.2266,2351
18.247,2454
18.2675,2468
18.288,2476
18.3084,2386
18.3289,2384
18.3494,2448
18.3698,2520
18.3903,2570
18.4108,2428
18.4312,2490
18.4517,2395
18.4722,2496
18.4926,2449
18.5131,2478
18.5335,2513
18.554,2501
18.5745,2423
18.5949,2460
18.6154,2565
18.6359,2505
18.6563,2505
18.6768,2545
18.6973,2522
18.7177,2598
18.7382,2567
18.7586,2515
18.7791,2556
18.7996,2551
18.82,2563
18.8405,2534
18.861,2573
18.8814,2618
18.9019,2608
18.9224,2657
18.9428,2611
18.9633,2597
18.9837,2595
19.0042,2618
19.0247,2594
19.0451,2592
19.0656,2610
19.0861,2688
19.1065,2755
19.127,2642
19.1475,2580
19.1679,2752
19.1884,2661
19.2089,2609
19.2293,2728
19.2498,2604
19.2702,2804
19.2907,2702
19.3112,2781
19.3316,2684
19.3521,2644
19.3726,2685
19.393,2570
19.4135,2785
19.434,2780
19.4544,2725
19.4749,2743
19.4953,2739
19.5158,2775
19.5363,2750
19.5567,2687
19.5772,2728
19.5977,2807
19.6181,2741
19.6386,2747
19.6591,2845
19.6795,2801
19.7,2833
19.7204,2797
19.7409,2812
19.7614,2799
19.7818,2756
19.8023,2840
19.8228,2958
19.8432,2773
19.8637,2798
19.8842,2825
19.9046,2804
19.9251,2794
19.9456,2749
19.966,2788
19.9865,2916
20.0069,2922
20.0274,2840
20.0479,2847
20.0683,2880
20.0888,2925
20.1093,2917
20.1297,2940
20.1502,2906
20.1707,2915
20.1911,2894
20.2116,2882
20.232,2865
20.2525,2843
20.273,2929
20.2934,2952
20.3139,2903
20.3344,3141
20.3548,3059
20.3753,2982
20.3958,2953
20.4162,3021
20.4367,3034
20.4571,2987
20.4776,2954
20.4981,2923
20.5185,2934
20.539,2930
20.5595,3011
20.5799,2933
20.6004,2954
20.6209,2879
20.6413,2959
20.6618,2993
20.6823,2960
20.7027,2938
20.7232,2955
20.7436,3025
20.7641,3010
20.7846,2990
20.805,3007
20.8255,3011
20.846,3039
20.8664,2977
20.8869,3018
20.9074,3018
20.9278,3103
20.9483,3001
20.9687,2990
20.9892,3183
21.0097,3033
21.0301,3078
21.0506,3035
21.0711,3055
21.0915,3072
21.112,3028
21.1325,3080
21.1529,3025
21.1734,3100
21.1938,3057
21.2143,3129
21.2348,3159
21.2552,3113
21.2757,3108
21.2962,3138
21.3166,3124
21.3371,3112
21.3576,2987
21.378,3023
21.3985,2990
21.419,3103
21.4394,3122
21.4599,3046
21.4803,3195
21.5008,3115
21.5213,3119
21.5417,3070
21.5622,3144
21.5827,3123
21.6031,3030
21.6236,3040
21.6441,3105
21.6645,3166
21.685,3030
21.7054,3109
21.7259,3000
21.7464,3157
21.7668,3065
21.7873,3197
21.8078,3173
21.8282,3099
21.8487,3183
21.8692,3020
21.8896,2997
21.9101,3082
21.9305,3121
21.951,3188
21.9715,3167
21.9919,3170
22.0124,3152
22.0329,3186
22.0533,3098
22.0738,3139
22.0943,3111
22.1147,3101
22.1352,3028
22.1557,3048
22.1761,3094
22.1966,3084
22.217,3063
22.2375,3081
22.258,3095
22.2784,3177
